Mã Chuyến,Hãng,Sân bay đi,Sân bay đến,Giờ đi,Giờ đến,Tổng ghế,Trạng thái,Tàu bay
JJ785,Global Connect,SGN,CXR,2026-06-15 07:13,2026-06-15 14:23,180,In Air,Airbus A350-1000
JJ558,JetJet Air,ICN,LHR,2026-06-15 08:13,2026-06-15 13:49,180,Delayed,Airbus A321 Neo
JJ419,Pacific Way,LHR,HAN,2026-06-15 09:13,2026-06-15 13:30,180,Completed,Boeing 737 MAX
JJ873,Pacific Way,ICN,DAD,2026-06-15 11:13,2026-06-15 20:38,180,Delayed,Boeing 737 MAX
JJ416,Pacific Way,SIN,SYD,2026-06-15 14:13,2026-06-15 17:50,180,Delayed,Airbus A350-1000
JJ887,Sky High,PQC,LHR,2026-06-15 15:13,2026-06-15 16:54,180,Delayed,Airbus A321 Neo
JJ756,Pacific Way,SIN,PQC,2026-06-15 15:13,2026-06-15 17:54,180,Completed,Airbus A350-1000
JJ758,Pacific Way,CXR,JFK,2026-06-15 16:13,2026-06-15 23:05,180,Scheduled,Boeing 787-9
JJ214,Sky High,NRT,LHR,2026-06-15 18:13,2026-06-15 19:43,180,Boarding,Airbus A350-1000
JJ391,Global Connect,PQC,DAD,2026-06-15 19:13,2026-06-16 02:40,180,Gate Closed,Boeing 737 MAX
JJHANPQC001,JetJet Air,HAN,PQC,2026-06-16 22:29:20,2026-06-17 00:59:20,150,Canceled,A320
